Time,Speed_1,Speed_2,Speed_3,Speed_4,Speed_5
21.2,19.13363636,18.67818182,18.2,18.92363636,20.37363636
21.3,19.13444444,18.68,18.19444444,18.92555556,20.34444444
21.4,19.13636364,18.68272727,18.18909091,18.93545455,20.31454545
21.5,19.13777778,18.69,18.18444444,18.93222222,20.28444444
21.6,19.13818182,18.69909091,18.18454545,18.92818182,20.25363636
21.7,19.13888889,18.70222222,18.18111111,18.92111111,20.22333333
21.8,19.13454545,18.71,18.18090909,18.92818182,20.19181818
21.9,19.13666667,18.71555556,18.18888889,18.92888889,20.16
22,19.13727273,18.72,18.18909091,18.93,20.13
22.1,19.13777778,18.72777778,18.18,18.93222222,20.10111111
22.2,19.14181818,18.73272727,18.18090909,18.94181818,20.07090909
22.3,19.14555556,18.74,18.19,18.95777778,20.04
22.4,19.14727273,18.74272727,18.19363636,18.96454545,20.00818182
22.5,19.15111111,18.75,18.19666667,18.98444444,19.97888889
22.6,19.15272727,18.75727273,18.20090909,19.00181818,19.95
22.7,19.15444444,18.76555556,18.20222222,19.02333333,19.92222222
22.8,19.15636364,18.77090909,18.21363636,19.04818182,19.89636364
22.9,19.16,18.77777778,18.22444444,19.06,19.87333333
23,19.16363636,18.78,18.23454545,19.07909091,19.84727273
23.1,19.16666667,18.78555556,18.24222222,19.09111111,19.82222222
23.2,19.17181818,18.79363636,18.25181818,19.11090909,19.79636364
23.3,19.17666667,18.80444444,18.26111111,19.12444444,19.77111111
23.4,19.18,18.81454545,18.27363636,19.12909091,19.74090909
23.5,19.18,18.82666667,18.28444444,19.14111111,19.71035413
23.6,19.18636364,18.83727273,18.29363636,19.15181818,19.68181818
23.7,19.19111111,18.84444444,18.30777778,19.15555556,19.64777778
23.8,19.19818182,18.85636364,18.31727273,19.16454545,19.62090909
23.9,19.20333333,18.87111111,18.33444444,19.17777778,19.58666667
24,19.21,18.88272727,18.34636364,19.16,19.55909091
24.1,19.21444444,18.89333333,18.36444444,19.15666667,19.52888889
24.2,19.22454545,18.90454545,18.37818182,19.17,19.49636364
24.3,19.22888889,18.92444444,18.39222222,19.17111111,19.46888889
24.4,19.23818182,18.93545455,18.40454545,19.16727273,19.43272727
24.5,19.24444444,18.95,18.42,19.17333333,19.39444444
24.6,19.25,18.96454545,18.44090909,19.16909091,19.35363636
24.7,19.25888889,18.97666667,18.46333333,19.18111111,19.31111111
24.8,19.26545455,18.98454545,18.48,19.19090909,19.26545455
24.9,19.27444444,19.00111111,18.49777778,19.19666667,19.22111111
25,19.28181818,19.01454545,18.51909091,19.20181818,19.17090909
25.1,19.29111111,19.02555556,18.53777778,19.21333333,19.11222222
25.2,19.29636364,19.03818182,18.56090909,19.21909091,19.05727273
25.3,19.30444444,19.05222222,18.58666667,19.22888889,19.00222222
25.4,19.31181818,19.06454545,18.60545455,19.24,18.95
25.5,19.32111111,19.07666667,18.62888889,19.24666667,18.89777778
25.6,19.32727273,19.08636364,18.65,19.25727273,18.84454545
25.7,19.33111111,19.1,18.67555556,19.26888889,18.79222222
25.8,19.33909091,19.10909091,18.70090909,19.28272727,18.73727273
25.9,19.34,19.11888889,18.72444444,19.29,18.68333333
26,19.34909091,19.12818182,18.74727273,19.30909091,18.63272727
26.1,19.35,19.14,18.77111111,19.31222222,18.57888889
26.2,19.35454545,19.14909091,18.79636364,19.32272727,18.52363636
26.3,19.35888889,19.15555556,18.82555556,19.33333333,18.47222222
26.4,19.36545455,19.17,18.85181818,19.35818182,18.41909091
26.5,19.36888889,19.17777778,18.87333333,19.37333333,18.36777778
26.6,19.37272727,19.18909091,18.90454545,19.38636364,18.31545455
26.7,19.37666667,19.19888889,18.93111111,19.39888889,18.26333333
26.8,19.38,19.21454545,18.95636364,19.41636364,18.21363636
26.9,19.38555556,19.22555556,18.98666667,19.42333333,18.16111111
27,19.38818182,19.23545455,19.01272727,19.44181818,18.10909091
27.1,19.39222222,19.24777778,19.03888889,19.46111111,18.05666667
27.2,19.39454545,19.25909091,19.06454545,19.47272727,18.00181818
27.3,19.39666667,19.26888889,19.09111111,19.49,17.95
27.4,19.39727273,19.27727273,19.12,19.49909091,17.89818182
27.5,19.39666667,19.28555556,19.14777778,19.52555556,17.84666667
27.6,19.4,19.29454545,19.17454545,19.53,17.79363636
27.7,19.40222222,19.30111111,19.2,19.54333333,17.74222222
27.8,19.40363636,19.31,19.22818182,19.55636364,17.68727273
27.9,19.40666667,19.32,19.25333333,19.56666667,17.63777778
28,19.40363636,19.32636364,19.27909091,19.57727273,17.58636364
28.1,19.40777778,19.33888889,19.30888889,19.60333333,17.53333333
28.2,19.40818182,19.35,19.33727273,19.60454545,17.48272727
28.3,19.41111111,19.35777778,19.36222222,19.61777778,17.43
28.4,19.41727273,19.37181818,19.38727273,19.63545455,17.37818182
28.5,19.42,19.38222222,19.41333333,19.64444444,17.32444444
28.6,19.42636364,19.39545455,19.44363636,19.66272727,17.27272727
28.7,19.43222222,19.40222222,19.47,19.67555556,17.22111111
28.8,19.43090909,19.41636364,19.49272727,19.68727273,17.16818182
28.9,19.43111111,19.42888889,19.52,19.70444444,17.11555556
29,19.42909091,19.44454545,19.54818182,19.71909091,17.06272727
29.1,19.42777778,19.45444444,19.57111111,19.73888889,17.00888889
29.2,19.42545455,19.46363636,19.59727273,19.74727273,16.95363636
29.3,19.42333333,19.47777778,19.62555556,19.76777778,16.90111111
29.4,19.42454545,19.49181818,19.64727273,19.77818182,16.84727273
29.5,19.42555556,19.50111111,19.67111111,19.80333333,16.79444444
29.6,19.42272727,19.51727273,19.69818182,19.82272727,16.74
29.7,19.42444444,19.52555556,19.71555556,19.84555556,16.69111111
29.8,19.42545455,19.53909091,19.73727273,19.87454545,16.64181818
29.9,19.42666667,19.55,19.76,19.90666667,16.58888889
